,industry,count_paid,mean_paid,count_unpaid,mean_unpaid
0,Accounting services,6.0,9.0,2.0,8.5
1,Advertising,18.0,7.05555555556,8.0,4.25
2,Aerospace,8.0,5.625,6.0,8.0
3,Auto dealers,2.0,8.0,2.0,3.5
4,Auto manufacturers,6.0,6.5,9.0,12.8888888889
5,Business Services,15.0,5.53333333333,14.0,9.21428571429
6,Conglomerate,4.0,7.75,4.0,5.5
7,Consulting services,24.0,10.8333333333,15.0,8.86666666667
8,Design,1.0,16.0,0.0,
9,Diversified industrials,4.0,4.5,4.0,10.5
10,Educational Services,53.0,4.94339622642,48.0,8.20833333333
11,Electronics Manufacturing,1.0,0.0,3.0,25.3333333333
12,Electronics Wholesaler,1.0,6.0,0.0,
13,FMCG,37.0,8.21621621622,19.0,8.42105263158
14,Finance,61.0,9.81967213115,31.0,8.8064516129
15,Fine Art Auctions,1.0,12.0,1.0,0.0
16,Government,15.0,4.0,13.0,11.6923076923
17,Healthcare,44.0,5.0,46.0,8.69565217391
18,Hospitality,14.0,3.0,15.0,10.2
19,Industrial,24.0,5.83333333333,16.0,8.375
20,Information Services,16.0,10.0,12.0,9.25
21,Insurance,33.0,6.15151515152,29.0,8.51724137931
22,Legal services,78.0,15.0384615385,13.0,6.61538461538
23,Maritime,0.0,,1.0,12.0
24,Media,30.0,8.03333333333,14.0,8.78571428571
25,Natural Resources,31.0,6.8064516129,27.0,10.7407407407
26,Nonprofit,27.0,6.74074074074,19.0,10.7368421053
27,Packaging,1.0,12.0,1.0,0.0
28,Pharmaceutical,24.0,7.20833333333,19.0,9.26315789474
29,Pharmacies and Drug Stores,3.0,6.0,3.0,10.0
30,Public Relations,3.0,4.33333333333,2.0,3.0
31,Publishing,5.0,9.4,4.0,4.25
32,Real Estate Company,6.0,2.5,6.0,9.83333333333
33,Real Estate Investment Trust,2.0,9.0,2.0,3.0
34,Research,1.0,6.0,1.0,6.0
35,Research & Development,2.0,7.0,2.0,5.0
36,Retail,60.0,5.71666666667,58.0,8.3275862069
37,Services,5.0,3.8,4.0,12.0
38,Technology,145.0,10.0620689655,74.0,7.17567567568
39,Telecommunications,11.0,6.45454545455,7.0,8.14285714286
40,Transportation,10.0,5.8,14.0,9.21428571429
41,Unspecified,9.0,2.66666666667,4.0,4.5
42,Wholesale,1.0,0.0,0.0,
