,industry_parsed
Technology,151
Legal services,78
Retail,73
Finance,66
Educational Services,59
Healthcare,55
Natural Resources,40
FMCG,38
Insurance,37
Media,33
Nonprofit,28
Industrial,27
Consulting services,25
Pharmaceutical,25
Hospitality,21
Government,19
Business Services,19
Advertising,18
Information Services,18
Transportation,17
Telecommunications,12
Auto manufacturers,10
Aerospace,9
Unspecified,9
Real Estate Company,7
Services,7
Accounting services,6
Publishing,6
Diversified industrials,4
Conglomerate,4
Pharmacies and Drug Stores,4
Public Relations,4
Electronics Manufacturing,3
Research & Development,2
Real Estate Investment Trust,2
Auto dealers,2
Fine Art Auctions,1
Wholesale,1
Electronics Wholesaler,1
Research,1
Packaging,1
Maritime,1
Design,1
