industry_parsed,paid_leave,unpaid_leave
Accounting services,9.0,8.5
Advertising,7.05555555556,4.25
Aerospace,5.625,8.0
Auto dealers,8.0,3.5
Auto manufacturers,6.5,12.8888888889
Business Services,5.53333333333,9.21428571429
Conglomerate,7.75,5.5
Consulting services,10.8333333333,8.86666666667
Design,16.0,
Diversified industrials,4.5,10.5
Educational Services,4.94339622642,8.20833333333
Electronics Manufacturing,0.0,25.3333333333
Electronics Wholesaler,6.0,
FMCG,8.21621621622,8.42105263158
Finance,9.81967213115,8.8064516129
Fine Art Auctions,12.0,0.0
Government,4.0,11.6923076923
Healthcare,5.0,8.69565217391
Hospitality,3.0,10.2
Industrial,5.83333333333,8.375
Information Services,10.0,9.25
Insurance,6.15151515152,8.51724137931
Legal services,15.0384615385,6.61538461538
Maritime,,12.0
Media,8.03333333333,8.78571428571
Natural Resources,6.8064516129,10.7407407407
Nonprofit,6.74074074074,10.7368421053
Packaging,12.0,0.0
Pharmaceutical,7.20833333333,9.26315789474
Pharmacies and Drug Stores,6.0,10.0
Public Relations,4.33333333333,3.0
Publishing,9.4,4.25
Real Estate Company,2.5,9.83333333333
Real Estate Investment Trust,9.0,3.0
Research,6.0,6.0
Research & Development,7.0,5.0
Retail,5.71666666667,8.3275862069
Services,3.8,12.0
Technology,10.0620689655,7.17567567568
Telecommunications,6.45454545455,8.14285714286
Transportation,5.8,9.21428571429
Unspecified,2.66666666667,4.5
Wholesale,0.0,
