industry_parsed,paid_leave,unpaid_leave
Accounting services,10.0,8.5
Advertising,6.8,5.75
Aerospace,5.0,9.0
Auto dealers,8.0,3.5
Auto manufacturers,6.75,14.8571428571
Business Services,5.375,10.1111111111
Conglomerate,7.75,2.66666666667
Consulting services,10.4210526316,10.4545454545
Diversified industrials,6.0,12.0
Educational Services,4.24,10.7826086957
Electronics Manufacturing,0.0,25.3333333333
Electronics Wholesaler,6.0,
FMCG,8.33333333333,9.5
Finance,9.80392156863,9.78260869565
Government,8.4,12.0
Healthcare,5.8,9.04761904762
Hospitality,4.5,11.0
Industrial,7.69230769231,8.57142857143
Information Services,9.58333333333,11.3333333333
Insurance,6.66666666667,9.13636363636
Legal services,15.935483871,7.25
Maritime,,12.0
Media,8.5652173913,8.72727272727
Natural Resources,7.66666666667,11.0454545455
Nonprofit,8.75,13.0909090909
Packaging,12.0,0.0
Pharmaceutical,7.375,9.5
Pharmacies and Drug Stores,6.0,10.0
Publishing,9.66666666667,5.66666666667
Real Estate Company,2.0,10.0
Real Estate Investment Trust,6.0,6.0
Retail,5.91891891892,8.94444444444
Services,6.0,12.0
Technology,10.3863636364,8.14893617021
Telecommunications,7.0,8.0
Transportation,6.0,9.66666666667
Unspecified,5.69072164948,9.0
